Region;Schadstoff;Einheit;NFR_Code;Trendbericht_Sektor;Quelle;Datenstand;Jahr; Werte 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2009; 12.524,41 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2010; 13.447,24 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2011; 13.112,94 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2012; 12.671,19 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2013; 12.159,13 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2014; 11.529,84 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2015; 12.239,91 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2016; 11.304,90 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2017; 12.042,21 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2018; 11.089,39 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2019; 10.346,66 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2020; 9.855,55 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2021; 9.720,24 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2022; 9.341,56 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2023; 8.500,37 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2024; NA 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2025; NA 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2026; NA 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2027; NA 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2028; NA 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2029; NA 
AT;NOX;t;1A1, 1A3e1, 1B;Energieversorgung;OLI 2024 (1990-2023);45703;2030; NA 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;1990; 34.538,91 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;1991; 35.495,75 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;1992; 32.283,35 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;1993; 32.853,48 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;1994; 32.353,44 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;1995; 30.368,59 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;1996; 31.405,77 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;1997; 33.050,18 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;1998; 32.044,83 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;1999; 31.148,98 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2000; 31.629,92 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2001; 30.739,60 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2002; 31.057,30 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2003; 31.995,48 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2004; 31.638,95 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2005; 34.654,98 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2006; 35.286,95 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2007; 35.458,01 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2008; 34.870,91 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2009; 32.170,38 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2010; 32.674,75 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2011; 32.716,45 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2012; 32.501,83 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2013; 31.006,28 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2014; 29.314,10 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2015; 28.820,51 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2016; 27.934,19 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2017; 26.957,08 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2018; 26.010,60 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2019; 25.768,07 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2020; 24.938,64 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2021; 25.472,45 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2022; 24.924,02 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2023; 23.801,80 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2024; NA 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2025; NA 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2026; NA 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2027; NA 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2028; NA 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2029; NA 
AT;NOX;t;1A2, 2A, 2B, 2C, 2H, 2I;Industrieproduktion;OLI 2024 (1990-2023);45703;2030; NA 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;1990; 119.298,37 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;1991; 127.743,30 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;1992; 123.491,23 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;1993; 120.048,25 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;1994; 115.362,65 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;1995; 113.798,36 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;1996; 130.748,10 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;1997; 116.160,30 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;1998; 130.119,31 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;1999; 122.173,92 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2000; 129.534,45 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2001; 137.501,15 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2002; 147.709,32 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2003; 156.849,44 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2004; 158.407,59 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2005; 160.700,28 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2006; 150.274,47 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2007; 146.014,33 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2008; 133.020,43 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2009; 125.712,29 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2010; 125.728,98 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2011; 118.387,77 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2012; 115.232,68 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2013; 118.034,22 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2014; 114.278,26 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2015; 111.415,38 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2016; 104.987,42 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2017; 97.027,44 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2018; 88.432,10 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2019; 80.507,54 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2020; 60.696,33 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2021; 57.522,62 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2022; 53.280,81 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2023; 50.648,52 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2024; NA 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2025; NA 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2026; NA 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2027; NA 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2028; NA 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2029; NA 
AT;NOX;t;1A3 ohne 1A3e1, 1A5;Verkehr;OLI 2024 (1990-2023);45703;2030; NA 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;1990; 19.318,96 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;1991; 20.347,53 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;1992; 19.350,73 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;1993; 18.971,42 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;1994; 17.271,40 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;1995; 18.771,48 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;1996; 19.958,35 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;1997; 17.749,89 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;1998; 17.554,48 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;1999; 18.459,05 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2000; 16.986,37 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2001; 18.340,50 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2002; 17.102,98 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2003; 17.447,29 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2004; 16.518,65 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2005; 15.957,72 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2006; 16.264,89 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2007; 14.604,08 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2008; 14.751,46 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2009; 13.931,27 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2010; 14.723,66 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2011; 13.342,18 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2012; 13.275,23 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2013; 13.474,00 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2014; 11.763,72 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2015; 12.258,95 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2016; 12.527,81 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2017; 12.611,43 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2018; 11.492,67 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2019; 11.639,74 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2020; 11.545,28 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2021; 13.214,88 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2022; 11.079,75 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2023; 10.174,90 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2024; NA 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2025; NA 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2026; NA 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2027; NA 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2028; NA 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2029; NA 
AT;NOX;t;1A4a, 1A4b;Kleinverbrauch;OLI 2024 (1990-2023);45703;2030; NA 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;1990; 24.154,03 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;1991; 24.083,71 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;1992; 23.681,82 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;1993; 23.337,75 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;1994; 23.082,75 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;1995; 22.800,10 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;1996; 23.076,03 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;1997; 23.574,61 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;1998; 23.416,80 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;1999; 23.176,88 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2000; 22.557,00 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2001; 22.821,92 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2002; 22.474,89 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2003; 21.351,39 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2004; 20.811,77 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2005; 21.055,30 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2006; 20.729,74 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2007; 20.510,08 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2008; 21.647,23 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2009; 20.430,26 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2010; 19.199,18 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2011; 20.223,35 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2012; 19.522,83 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2013; 18.964,51 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2014; 19.733,45 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2015; 19.247,57 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2016; 19.735,82 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2017; 18.631,97 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2018; 18.026,34 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2019; 17.543,41 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2020; 17.334,09 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2021; 17.139,93 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2022; 16.310,17 
AT;NOX;t;3, 1A4c;Landwirtschaft;OLI 2024 (1990-2023);45703;2023; 15.588,28 
